representation,query_genre,retrieved_genre,fraction
cnn_resnet_medium,Folk,Blues,0.007894736714661121
cnn_resnet_medium,Folk,Classical,0.024122806265950203
cnn_resnet_medium,Folk,Country,0.014473684132099152
cnn_resnet_medium,Folk,Easy Listening,0.0004385965003166348
cnn_resnet_medium,Folk,Electronic,0.05263157933950424
cnn_resnet_medium,Folk,Experimental,0.08684210479259491
cnn_resnet_medium,Folk,Folk,0.4587719440460205
cnn_resnet_medium,Folk,Hip-Hop,0.010526316240429878
cnn_resnet_medium,Folk,Instrumental,0.0671052634716034
cnn_resnet_medium,Folk,International,0.036403506994247437
cnn_resnet_medium,Folk,Jazz,0.018421052023768425
cnn_resnet_medium,Folk,Old-Time / Historic,0.001754386001266539
cnn_resnet_medium,Folk,Pop,0.07938596606254578
cnn_resnet_medium,Folk,Rock,0.1377193033695221
cnn_resnet_medium,Folk,Soul-RnB,0.0013157895300537348
cnn_resnet_medium,Folk,Spoken,0.0021929824724793434
cnn_resnet_medium,Hip-Hop,Blues,0.0015197568573057652
cnn_resnet_medium,Hip-Hop,Classical,0.0006079027079977095
cnn_resnet_medium,Hip-Hop,Country,0.0021276595070958138
cnn_resnet_medium,Hip-Hop,Easy Listening,0.0009118540911003947
cnn_resnet_medium,Hip-Hop,Electronic,0.1984802484512329
cnn_resnet_medium,Hip-Hop,Experimental,0.027659574523568153
cnn_resnet_medium,Hip-Hop,Folk,0.008206686936318874
cnn_resnet_medium,Hip-Hop,Hip-Hop,0.6313070058822632
cnn_resnet_medium,Hip-Hop,Instrumental,0.009118541143834591
cnn_resnet_medium,Hip-Hop,International,0.027659574523568153
cnn_resnet_medium,Hip-Hop,Jazz,0.003951367922127247
cnn_resnet_medium,Hip-Hop,Old-Time / Historic,0.0
cnn_resnet_medium,Hip-Hop,Pop,0.026747720316052437
cnn_resnet_medium,Hip-Hop,Rock,0.050759878009557724
cnn_resnet_medium,Hip-Hop,Soul-RnB,0.007598784286528826
cnn_resnet_medium,Hip-Hop,Spoken,0.0033434650395065546
cnn_resnet_medium,Instrumental,Blues,0.0
cnn_resnet_medium,Instrumental,Classical,0.09207920730113983
cnn_resnet_medium,Instrumental,Country,0.0019801980815827847
cnn_resnet_medium,Instrumental,Easy Listening,0.0014851485611870885
cnn_resnet_medium,Instrumental,Electronic,0.22079208493232727
cnn_resnet_medium,Instrumental,Experimental,0.13019801676273346
cnn_resnet_medium,Instrumental,Folk,0.06386138498783112
cnn_resnet_medium,Instrumental,Hip-Hop,0.015346534550189972
cnn_resnet_medium,Instrumental,Instrumental,0.251485139131546
cnn_resnet_medium,Instrumental,International,0.010396040044724941
cnn_resnet_medium,Instrumental,Jazz,0.028712870553135872
cnn_resnet_medium,Instrumental,Old-Time / Historic,0.0004950495203956962
cnn_resnet_medium,Instrumental,Pop,0.037128712981939316
cnn_resnet_medium,Instrumental,Rock,0.14108911156654358
cnn_resnet_medium,Instrumental,Soul-RnB,0.0034653465263545513
cnn_resnet_medium,Instrumental,Spoken,0.0014851485611870885
cnn_resnet_medium,International,Blues,0.004575163591653109
cnn_resnet_medium,International,Classical,0.009150327183306217
cnn_resnet_medium,International,Country,0.02222222276031971
cnn_resnet_medium,International,Easy Listening,0.0013071895809844136
cnn_resnet_medium,International,Electronic,0.13856209814548492
cnn_resnet_medium,International,Experimental,0.05359477177262306
cnn_resnet_medium,International,Folk,0.05424836650490761
cnn_resnet_medium,International,Hip-Hop,0.05424836650490761
cnn_resnet_medium,International,Instrumental,0.024836601689457893
cnn_resnet_medium,International,International,0.393464058637619
cnn_resnet_medium,International,Jazz,0.05032679811120033
cnn_resnet_medium,International,Old-Time / Historic,0.0006535947904922068
cnn_resnet_medium,International,Pop,0.06209150329232216
cnn_resnet_medium,International,Rock,0.1111111119389534
cnn_resnet_medium,International,Soul-RnB,0.013725490309298038
cnn_resnet_medium,International,Spoken,0.0058823530562222
cnn_resnet_medium,Jazz,Blues,0.01034482754766941
cnn_resnet_medium,Jazz,Classical,0.10172414034605026
cnn_resnet_medium,Jazz,Country,0.015517241321504116
cnn_resnet_medium,Jazz,Easy Listening,0.0017241379246115685
cnn_resnet_medium,Jazz,Electronic,0.11206896603107452
cnn_resnet_medium,Jazz,Experimental,0.08275862038135529
cnn_resnet_medium,Jazz,Folk,0.07241379469633102
cnn_resnet_medium,Jazz,Hip-Hop,0.017241379246115685
cnn_resnet_medium,Jazz,Instrumental,0.0672413781285286
cnn_resnet_medium,Jazz,International,0.10862068831920624
cnn_resnet_medium,Jazz,Jazz,0.08275862038135529
cnn_resnet_medium,Jazz,Old-Time / Historic,0.0017241379246115685
cnn_resnet_medium,Jazz,Pop,0.07068965584039688
cnn_resnet_medium,Jazz,Rock,0.23275862634181976
cnn_resnet_medium,Jazz,Soul-RnB,0.02068965509533882
cnn_resnet_medium,Jazz,Spoken,0.0017241379246115685
cnn_resnet_medium,Old-Time / Historic,Blues,0.0
cnn_resnet_medium,Old-Time / Historic,Classical,0.007894736714661121
cnn_resnet_medium,Old-Time / Historic,Country,0.0
cnn_resnet_medium,Old-Time / Historic,Easy Listening,0.0
cnn_resnet_medium,Old-Time / Historic,Electronic,0.010526316240429878
cnn_resnet_medium,Old-Time / Historic,Experimental,0.027631578966975212
cnn_resnet_medium,Old-Time / Historic,Folk,0.003947368357330561
cnn_resnet_medium,Old-Time / Historic,Hip-Hop,0.0013157895300537348
cnn_resnet_medium,Old-Time / Historic,Instrumental,0.0026315790601074696
cnn_resnet_medium,Old-Time / Historic,International,0.01315789483487606
cnn_resnet_medium,Old-Time / Historic,Jazz,0.007894736714661121
cnn_resnet_medium,Old-Time / Historic,Old-Time / Historic,0.9118421077728271
cnn_resnet_medium,Old-Time / Historic,Pop,0.0013157895300537348
cnn_resnet_medium,Old-Time / Historic,Rock,0.00657894741743803
cnn_resnet_medium,Old-Time / Historic,Soul-RnB,0.0
cnn_resnet_medium,Old-Time / Historic,Spoken,0.005263158120214939
cnn_resnet_medium,Pop,Blues,0.009550562128424644
cnn_resnet_medium,Pop,Classical,0.010674157179892063
cnn_resnet_medium,Pop,Country,0.0174157302826643
cnn_resnet_medium,Pop,Easy Listening,0.001123595517128706
cnn_resnet_medium,Pop,Electronic,0.20280899107456207
cnn_resnet_medium,Pop,Experimental,0.08707865327596664
cnn_resnet_medium,Pop,Folk,0.0949438214302063
cnn_resnet_medium,Pop,Hip-Hop,0.05393258482217789
cnn_resnet_medium,Pop,Instrumental,0.04775280877947807
cnn_resnet_medium,Pop,International,0.03932584449648857
cnn_resnet_medium,Pop,Jazz,0.02247191034257412
cnn_resnet_medium,Pop,Old-Time / Historic,0.002247191034257412
cnn_resnet_medium,Pop,Pop,0.1022471934556961
cnn_resnet_medium,Pop,Rock,0.2887640595436096
